City ID    | City Name                 | Prov ID    | Province Name
135        | Washuk                    | 4          | Balochistan

136        | Zhob                      | 4          | Balochistan

137        | Ziarat                    | 4          | Balochistan

138        | Usta Muhammad             | 4          | Balochistan

139        | Lehri                     | 4          | Balochistan

140        | Astore                    | 5          | Gilgit-Baltistan

141        | Diamer                    | 5          | Gilgit-Baltistan

142        | Ghizer                    | 5          | Gilgit-Baltistan

143        | Gilgit                    | 5          | Gilgit-Baltistan

144        | Ghanche                   | 5          | Gilgit-Baltistan

145        | Hunza                     | 5          | Gilgit-Baltistan

146        | Kharmang                  | 5          | Gilgit-Baltistan

147        | Nagar                     | 5          | Gilgit-Baltistan

148        | Shigar                    | 5          | Gilgit-Baltistan

149        | Skardu                    | 5          | Gilgit-Baltistan

150        | Bagh                      | 6          | Azad Jammu and Kashmir

151        | Bhimber                   | 6          | Azad Jammu and Kashmir

152        | Hattian Bala              | 6          | Azad Jammu and Kashmir

153        | Haveli                    | 6          | Azad Jammu and Kashmir

154        | Kotli                     | 6          | Azad Jammu and Kashmir

155        | Mirpur                    | 6          | Azad Jammu and Kashmir

156        | Muzaffarabad              | 6          | Azad Jammu and Kashmir

157        | Neelum                    | 6          | Azad Jammu and Kashmir

158        | Poonch                    | 6          | Azad Jammu and Kashmir

159        | Sudhnuti                  | 6          | Azad Jammu and Kashmir

160        | Islamabad                 | 7          | Islamabad
